0,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
209,Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30000,20000,2011
210,Reuter_50_50,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,2500,10000,2011
211,Farm Ads,Text,Classification,,4143,54877,2011
212,DBWorld e-mails,Text,Classification,,64,4702,2011
213,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",53414,24,2011
214,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",65554,29,2011
215,Bank Marketing,Multivariate,Classification,Real,45211,17,2012
216,YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3,2012
217,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128,2012
218,ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,2012
219,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242,2012
220,Nomao,Univariate,Classification,Real,34465,120,2012
221,SMS Spam Collection,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,5574,,2012
222,Skin Segmentation,Univariate,Classification,Real,245057,4,2012
223,Planning Relax,Univariate,Classification,Real,182,13,2012
224,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52,2012
225,Restaurant & consumer data,Multivariate,,,138,47,2012
226,CNAE-9,"Multivariate, Text",Classification,Integer,1080,857,2012
227,Individual household electric power consumption,"Multivariate, Time-Series","Regression, Clustering",Real,2075259,9,2012
228,seeds,Multivariate,"Classification, Clustering",Real,210,7,2012
229,Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200,2012
230,QtyT40I10D100K,Sequential,,Integer,3960456,4,2012
231,Legal Case Reports,Text,Classification,,,,2012
232,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,10299,561,2012
233,One-hundred plant species leaves data set,,Classification,Real,1600,64,2012
234,Energy efficiency,Multivariate,"Classification, Regression","Integer, Real",768,8,2012
235,Yacht Hydrodynamics,Multivariate,Regression,Real,308,7,2013
236,Fertility,Multivariate,"Classification, Regression",Real,100,10,2013
